step,lambda
35842000,21.168735526315764
93213000,11.105435310344827
62313000,12.090848233176892
14504000,15.550807339449516
33005000,20.44760266666664
22101000,15.539416290322563
51233000,23.828153409090923
84131000,4.879526743035708
50264000,23.249930000000017
81356000,4.7517647648148085
63429000,4.349233023149601
19675000,16.007213863636345
21676000,15.697886057142837
45716000,15.950661791930678
1746000,14.620701249999986
14315000,14.559978295964104
2444000,15.413989942857128
91203000,9.021587463768117
2508000,15.592089886363624
9158000,15.193570340909078
23931000,17.45184534090907
29430000,19.351096610169463
83782000,4.864246263243237
70880000,3.7468010934187994
75084000,3.823609638333328
77284000,4.9097949702399974
78679000,5.615986332985071
29517000,19.215671709844532
17749000,16.174990982658944
63326000,4.430509711519996
22274000,14.714226290313572
38287000,16.234804348014695
85660000,5.227562685070422
56939000,5.572662598954539
84751000,11.348341159870126
97029000,11.118548294807686
41975000,20.931256756756753
20545000,15.883755254237268
39502000,16.21229635036496
30619000,9.430287260154634
3891000,16.13142192090394
68983000,6.790493518897056
39523000,16.245549264705875
55332000,1.2093402509482796
15443000,9.452883703453605
53755000,1.0862699921238979
1038000,14.236652114285704
53955000,1.227971012100844
66637000,3.9973075422313977
59223000,2.9137112959036067
17753000,16.166010574712626
49219000,15.631869901666644
75617000,3.92484955867768
8373000,15.226780340909075
59722000,5.323115856428564
39934000,15.908837969924807
38504000,16.19888785714285
53558000,1.1888437325423769
93523000,11.408119357142857
60712000,12.038340277330954
71281000,19.520435294117632
96425000,12.27337366906474
35804000,21.286693243243217
54789000,1.2364719582051318
97929000,12.989291035808378
36984000,21.42156122448978
54627000,1.1516935630508516
18963000,16.065330681818164
84877000,12.16309079028571
96331000,12.27973807272726
85563000,5.642035147777776
23528000,17.509821371428554
15108000,9.437819373556696
71065000,3.6787676894736805
11083000,14.429743693181807
3598000,15.75813897727271
75873000,4.186599338095234
53985000,1.1933842536666706
16857000,16.073632163742673
27139000,18.80295574712641
38830000,16.26562627737226
8503000,15.404931751412413
54986000,1.223982824273508
97107000,10.760871065802467
22634000,13.768032798293403
28617000,19.945069540229856
68968000,6.83186730276119
44194000,15.673795930198992
10381000,14.496163352272715
81801000,5.321375238499996
53051000,12.208058562191269
62284000,12.089904710182477
23564000,17.661568092485528
43155000,22.657405617977535
38733000,16.105176258992795
42901000,22.675762727272726
6392000,15.908521468926537
88818000,9.219035346326548
15151000,9.498077053969068
62994000,12.382383372910441
63029000,12.387340085643933
64758000,3.909160740170935
41956000,21.0493948275862
94628000,12.853819825581395
92733000,9.909231859149797
40776000,15.667740555555554
53396000,1.0795131571171208
70713000,4.098630563089426
88160000,7.4096722947787566
84886000,11.990183372694059
57493000,5.624797679315061
73045000,4.034479068829265
73750000,14.08556099761905
42694000,22.606215837104067
2864000,15.419475813953474
8648000,15.016920169491508
69517000,3.3046832774871757
59082000,3.084873391333325
59048000,2.742008230058815
14978000,12.769469846490775
44812000,15.690243475098999
92300000,8.736476508021218
58402000,3.6680417437244834
41865000,20.867513157894734
57428000,5.61038174513761
93414000,11.127155810810809
17588000,15.733232670454532
43902000,15.873074709019594
13917000,14.762470702702684
93739000,11.595993642857138
88083000,7.073458501238936
84736000,10.065324059751548
58811000,3.452495501398955
25323000,18.746836470588207
42470000,22.149626495726494
34342000,21.106782638888866
59897000,4.732895686814154
